"rules","support","confidence","coverage","lift","count"
"12","{bags,bakery,life} => {product,shopping}",0.00233858668022369,0.433962264150943,0.00538891713268937,185.566037735849,23
"7","{bakery,life,water,long} => {product}",0.00122013218098627,0.705882352941177,0.00172852058973055,53.4027149321267,12
"8","{bakery,life,product} => {water,long}",0.00122013218098627,0.0923076923076923,0.0132180986273513,53.4027149321267,12
"16","{bakery,life,vegetables,whole} => {snack,long}",0.00111845449923742,0.169230769230769,0.00660904931367565,50.4358974358974,11
"3","{bakery,life,long} => {product}",0.00111845449923742,0.611111111111111,0.00183019827147941,46.232905982906,11
"4","{bakery,life,product} => {long}",0.00111845449923742,0.0846153846153846,0.0132180986273513,46.232905982906,11
"1","{bakery,long,product} => {life}",0.00111845449923742,1,0.00111845449923742,26.7255434782609,11
"2","{life,long,product} => {bakery}",0.00111845449923742,1,0.00111845449923742,26.7255434782609,11
"5","{bakery,product,water,long} => {life}",0.00122013218098627,1,0.00122013218098627,26.7255434782609,12
"6","{life,product,water,long} => {bakery}",0.00122013218098627,1,0.00122013218098627,26.7255434782609,12
"10","{bags,bakery,product,shopping} => {life}",0.00233858668022369,1,0.00233858668022369,26.7255434782609,23
"11","{bags,life,product,shopping} => {bakery}",0.00233858668022369,1,0.00233858668022369,26.7255434782609,23
"14","{bakery,snack,long,vegetables,whole} => {life}",0.00111845449923742,1,0.00111845449923742,26.7255434782609,11
"15","{life,snack,long,vegetables,whole} => {bakery}",0.00111845449923742,1,0.00111845449923742,26.7255434782609,11
"17","{bakery,juice,long,product} => {life}",0.00122013218098627,1,0.00122013218098627,26.7255434782609,12
"18","{juice,long,life,product} => {bakery}",0.00122013218098627,1,0.00122013218098627,26.7255434782609,12
"22","{bakery,product,vegetables,whole} => {life}",0.00142348754448399,1,0.00142348754448399,26.7255434782609,14
"23","{life,product,vegetables,whole} => {bakery}",0.00142348754448399,1,0.00142348754448399,26.7255434782609,14
"34","{bakery,other,vegetables,whole} => {life}",0.00111845449923742,1,0.00111845449923742,26.7255434782609,11
"35","{life,other,vegetables,whole} => {bakery}",0.00111845449923742,1,0.00111845449923742,26.7255434782609,11
"42","{bakery,fruit,other,vegetables,whole} => {life}",0.00122013218098627,1,0.00122013218098627,26.7255434782609,12
"43","{fruit,other,life,vegetables,whole} => {bakery}",0.00122013218098627,1,0.00122013218098627,26.7255434782609,12
"49","{bakery,fruit,root,vegetables,other} => {life}",0.00122013218098627,1,0.00122013218098627,26.7255434782609,12
"50","{fruit,root,life,vegetables,other} => {bakery}",0.00122013218098627,1,0.00122013218098627,26.7255434782609,12
"58","{bakery,vegetables,other,vegetables,whole} => {life}",0.00111845449923742,1,0.00111845449923742,26.7255434782609,11
"59","{life,vegetables,other,vegetables,whole} => {bakery}",0.00111845449923742,1,0.00111845449923742,26.7255434782609,11
"63","{bags,bakery,vegetables,whole} => {life}",0.00101677681748856,1,0.00101677681748856,26.7255434782609,10
"64","{bags,life,vegetables,whole} => {bakery}",0.00101677681748856,1,0.00101677681748856,26.7255434782609,10
"47","{citrus,vegetables,other,vegetables,whole} => {fruit,root}",0.00122013218098627,0.857142857142857,0.00142348754448399,24.0857142857143,12
"19","{bakery,juice,long,life} => {product}",0.00122013218098627,0.285714285714286,0.00427046263345196,21.6153846153846,12
"20","{bakery,life,product} => {juice,long}",0.00122013218098627,0.0923076923076923,0.0132180986273513,21.6153846153846,12
"39","{fruit,pip,vegetables,other,vegetables,whole} => {fruit,root}",0.0016268429079817,0.761904761904762,0.00213523131672598,21.4095238095238,16
"28","{citrus,fruit,root,vegetables,other} => {fruit,tropical}",0.00101677681748856,0.416666666666667,0.00244026436197255,20.9077380952381,10
"55","{cheese,fruit,root,vegetables,whole} => {vegetables,other}",0.00122013218098627,0.8,0.00152516522623284,20.8700265251989,12
"26","{citrus,fruit,tropical,vegetables,other} => {fruit,root}",0.00101677681748856,0.714285714285714,0.00142348754448399,20.0714285714286,10
"31","{fruit,tropical,vegetables,other,vegetables,whole} => {fruit,root}",0.00152516522623284,0.681818181818182,0.00223690899847484,19.1590909090909,15
"24","{bakery,life,vegetables,whole} => {product}",0.00142348754448399,0.215384615384615,0.00660904931367565,16.294674556213,14
"30","{fruit,root,fruit,tropical,vegetables,whole} => {vegetables,other}",0.00152516522623284,0.6,0.0025419420437214,15.6525198938992,15
"51","{bakery,fruit,root,life} => {vegetables,other}",0.00122013218098627,0.6,0.00203355363497712,15.6525198938992,12
"25","{citrus,fruit,root,fruit,tropical} => {vegetables,other}",0.00101677681748856,0.588235294117647,0.00172852058973055,15.3456077391169,10
"56","{cheese,vegetables,other,vegetables,whole} => {fruit,root}",0.00122013218098627,0.545454545454545,0.00223690899847484,15.3272727272727,12
"46","{citrus,fruit,root,vegetables,whole} => {vegetables,other}",0.00122013218098627,0.48,0.0025419420437214,12.5220159151194,12
"52","{bakery,life,vegetables,other} => {fruit,root}",0.00122013218098627,0.444444444444444,0.00274529740721912,12.4888888888889,12
"38","{fruit,pip,fruit,root,vegetables,whole} => {vegetables,other}",0.0016268429079817,0.457142857142857,0.00355871886120996,11.9257294429708,16
"32","{fruit,root,vegetables,other,vegetables,whole} => {fruit,tropical}",0.00152516522623284,0.208333333333333,0.00732079308591764,10.453869047619,15
"9","{bakery,life,product,shopping} => {bags}",0.00233858668022369,1,0.00233858668022369,10.1287332646756,23
"27","{fruit,root,fruit,tropical,vegetables,other} => {citrus}",0.00101677681748856,0.416666666666667,0.00244026436197255,9.04617365710081,10
"40","{fruit,root,vegetables,other,vegetables,whole} => {fruit,pip}",0.0016268429079817,0.222222222222222,0.00732079308591764,7.75019700551615,16
"33","{bakery,life,other} => {vegetables,whole}",0.00111845449923742,0.647058823529412,0.00172852058973055,6.77002503128911,11
"29","{fruit,root,fruit,tropical,vegetables,other} => {vegetables,whole}",0.00152516522623284,0.625,0.00244026436197255,6.53922872340426,15
"41","{bakery,fruit,other,life} => {vegetables,whole}",0.00122013218098627,0.6,0.00203355363497712,6.27765957446809,12
"53","{cheese,fruit,root,vegetables,other} => {vegetables,whole}",0.00122013218098627,0.6,0.00203355363497712,6.27765957446809,12
"37","{fruit,pip,fruit,root,vegetables,other} => {vegetables,whole}",0.0016268429079817,0.592592592592593,0.00274529740721912,6.20015760441292,16
"45","{citrus,fruit,root,vegetables,other} => {vegetables,whole}",0.00122013218098627,0.5,0.00244026436197255,5.2313829787234,12
"44","{bakery,life,vegetables,whole} => {fruit,other}",0.00122013218098627,0.184615384615385,0.00660904931367565,5.01572460688483,12
"60","{bakery,life,vegetables,whole} => {vegetables,other}",0.00111845449923742,0.169230769230769,0.00660904931367565,4.41481330340747,11
"57","{bakery,life,vegetables,other} => {vegetables,whole}",0.00111845449923742,0.407407407407407,0.00274529740721912,4.26260835303388,11
"48","{fruit,root,vegetables,other,vegetables,whole} => {citrus}",0.00122013218098627,0.166666666666667,0.00732079308591764,3.61846946284032,12
"36","{bakery,life,vegetables,whole} => {other}",0.00111845449923742,0.169230769230769,0.00660904931367565,3.61822742474916,11
"54","{fruit,root,vegetables,other,vegetables,whole} => {cheese}",0.00122013218098627,0.166666666666667,0.00732079308591764,3.61049926578561,12
"13","{bakery,life,snack,long} => {vegetables,whole}",0.00111845449923742,0.333333333333333,0.00335536349771225,3.48758865248227,11
"61","{bags,bakery,life} => {vegetables,whole}",0.00101677681748856,0.188679245283019,0.00538891713268937,1.97410678442393,10
"62","{bakery,life,vegetables,whole} => {bags}",0.00101677681748856,0.153846153846154,0.00660904931367565,1.55826665610394,10
"21","{bakery,life,product} => {vegetables,whole}",0.00142348754448399,0.107692307692308,0.0132180986273513,1.12675941080196,14
